,City,Country,Continent,Housing,Cost of Living,Commute,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Outdoors,Average Score,Air Quality,Air Quality Level
0,Aarhus, Denmark,Europe,6.1315,4.015000000000001,6.31175,9.616500000000002,8.704333333333333,5.3665,7.633000000000001,4.886500000000001,5.0680000000000005,8.373,3.187,4.13,6.118590277777777,,
1,Adelaide, Australia,Oceania,6.3095,4.692,5.33625,7.926000000000001,7.936666666666666,5.142,8.330750000000002,6.0695000000000014,4.5885,4.341,4.3285,5.531000000000001,5.87763888888889,5,Good
2,Albuquerque, New Mexico,North America,7.262,6.059,5.05575,1.3435,6.429999999999999,4.151999999999999,7.3195,6.5145,4.346,5.396000000000001,4.890000000000001,3.5155,5.1903125,107,Unhealthy for Sensitive Groups
3,Almaty, Kazakhstan,Asia,9.282,9.333,5.871249999999999,7.309,4.5456666666666665,2.283,3.85675,5.269,8.522,2.886,2.9370000000000003,5.499999999999999,5.632888888888889,179,Unhealthy
4,Amsterdam, Netherlands,Europe,3.0529999999999995,3.8240000000000007,6.1185,8.503500000000003,7.907333333333333,6.18,7.59725,5.053000000000001,4.954999999999999,4.523000000000001,8.874,5.307,5.991298611111112,20,Good
5,Anchorage, Alaska,North America,5.433500000000001,3.141,4.715249999999999,3.4704999999999995,6.0603333333333325,3.6245,9.272000000000002,6.5145,4.772,4.9645,3.2660000000000005,5.3580000000000005,5.049340277777778,7,Good
6,Andorra,Andorra,Europe,3.969,0.0,0.0,9.5535,0.0,0.0,7.256,0.0,4.475,7.186,2.132,3.5885,3.1799999999999997,24,Good
7,Ankara, Turkey,Asia,9.928,9.125,5.291,7.425000000000002,6.914333333333333,2.0285,2.9360000000000004,4.093500000000001,4.323499999999999,2.3160000000000003,8.638499999999999,5.1465,5.680486111111112,96,Moderate
8,Asheville, North Carolina,North America,5.855999999999999,5.311,1.358,5.852500000000001,6.725333333333332,3.6245,8.49325,6.5145,4.062,4.7875,5.063,2.2655,4.992756944444444,30,Good
9,Asuncion, Paraguay,South America,9.2265,9.295000000000002,4.968750000000001,6.9345,5.485333333333333,0.0,3.969,4.109,8.423499999999999,1.479,5.991999999999999,3.4845000000000006,5.280590277777777,,
10,Athens, Greece,Europe,9.052499999999998,6.5,5.21975,6.7585,7.153,3.1625,3.80225,3.3199999999999994,4.1665,2.2279999999999998,7.876000000000001,6.483,5.476833333333334,87,Moderate
11,Atlanta, Georgia,North America,4.9755,5.241,3.89775,2.6725,6.0233333333333325,6.456999999999999,5.817749999999999,6.5145,4.204,6.4805,7.765499999999999,5.0095,5.421569444444444,49,Good
12,Auckland, New Zealand,Oceania,4.72,4.470000000000001,4.845000000000001,7.0215,8.162666666666665,5.0465,8.2725,5.505500000000001,5.9315,6.8500000000000005,4.395999999999999,5.862,5.923597222222221,28,Good
13,Austin, Texas,North America,4.3345,5.355,4.3305,5.069,6.281666666666666,5.315000000000001,7.03075,6.5145,4.772,9.049,6.698,3.909,5.721576388888889,18,Good
14,Baku, Azerbaijan,Asia,9.745,9.806,5.492,8.772,3.701999999999999,0.0,2.62125,3.8765,5.861,1.4420000000000002,6.2195,4.503,5.170020833333333,,
15,Bali, Indonesia,Asia,5.0,0.0,5.193500000000001,8.7475,4.442,0.5275,4.13775,4.657500000000001,6.266,3.2375000000000003,6.3335,7.5005,4.670270833333333,281,Very Unhealthy
16,Baltimore, Maryland,North America,4.829999999999999,4.982,4.93475,2.373,6.870666666666666,5.8805,5.784500000000001,6.5145,4.062,4.988,0.0,3.9795,4.599951388888889,30,Good
17,Bangkok, Thailand,Asia,7.3935,7.222,4.293500000000001,7.0365,7.126666666666665,1.6915,3.37125,2.387,6.794500000000001,4.826499999999999,9.089,6.494000000000001,5.643826388888889,76,Moderate
18,Barcelona, Spain,Europe,6.323,6.074000000000001,5.69925,7.407499999999999,8.403333333333332,5.029000000000002,3.6655000000000006,4.296,3.894000000000001,6.467999999999999,8.591499999999998,5.827999999999999,5.9732569444444445,28,Good
19,Beijing, China,Asia,6.173000000000001,8.101,4.83675,7.066,6.423333333333333,7.971000000000002,2.0555000000000003,6.103,1.4260000000000002,3.493,7.268499999999999,4.9435,5.488381944444446,21,Good
20,Beirut, Lebanon,Asia,6.655500000000001,6.3,4.77275,6.833,6.1593333333333335,1.0035,1.449,3.4345000000000003,8.2805,1.5905,3.3995,3.842000000000001,4.476673611111111,,
21,Belfast, United Kingdom,Europe,7.532000000000001,6.014000000000001,5.28,7.678999999999999,8.168333333333333,4.6865000000000006,8.377500000000001,5.438,5.9545,5.5955,4.957000000000001,1.413,5.924611111111111,14,Good
22,Belgrade, Serbia,Europe,9.2575,8.546000000000001,5.578250000000001,6.6995000000000005,6.0103333333333335,0.5,4.88325,1.638,4.1665,3.863,6.497,5.078,5.226444444444445,92,Moderate
23,Belize City, Belize,North America,4.6425,0.0,0.0,6.052,5.503999999999999,0.0,2.031,3.496,6.930000000000001,3.8075,1.0645,0.5,2.835625,,
24,Bengaluru, India,Asia,9.810999999999998,10.0,4.00625,7.294,3.937,0.656,2.75575,5.5565,3.4145,2.841,3.2215000000000007,2.385,4.656541666666667,129,Unhealthy for Sensitive Groups
25,Bergen, Norway,Europe,5.229499999999999,1.805,5.8875,7.7075,7.646666666666666,4.8395,7.539250000000001,7.0735,4.752,6.537000000000001,4.4875,4.3135,5.651534722222222,8,Good
26,Berlin, Germany,Europe,6.3950000000000005,5.524,6.1960000000000015,7.251500000000001,7.990666666666666,7.019000000000001,6.771500000000001,5.373500000000001,3.9035,4.677999999999999,8.881,5.475000000000001,6.288222222222221,25,Good
27,Bern, Switzerland,Europe,4.922500000000001,1.0,5.19775,9.266,7.520333333333333,5.3455,9.2445,6.552,6.4285000000000005,6.1145000000000005,4.245,2.1225,5.663256944444445,11,Good
28,Bilbao, Spain,Europe,6.888000000000001,5.638,5.774750000000001,8.7805,9.320666666666666,3.759000000000001,8.328000000000001,4.296,3.894000000000001,5.756,6.013999999999999,1.481,5.827493055555554,13,Good
29,Birmingham, United Kingdom,Europe,5.9035,5.814,5.4935,6.946500000000001,8.293666666666667,5.0265,5.7385,5.438,5.9545,5.940000000000001,4.4350000000000005,1.2675,5.520930555555556,13,Good
30,Birmingham, Alabama,North America,6.5555,5.133,2.02075,1.776,6.540999999999999,3.6245,7.0375,6.5145,4.204,5.1605,5.3835,1.2660000000000002,4.601395833333332,13,Good
31,Bogota, Colombia,South America,9.0275,9.079999999999998,4.964,6.222000000000001,6.301666666666667,1.534,4.3475,4.5945,1.8515000000000004,2.9760000000000004,6.215,7.477,5.382555555555556,880,Hazardous
